   1000.000      -10.70064       3.030499    
   1010.000      -10.84592       2.991053    
   1020.000      -11.00032       2.952417    
   1030.000      -11.16486       2.914567    
   1040.000      -11.34074       2.877480    
   1050.000      -11.52938       2.841135    
   1060.000      -11.73256       2.805510    
   1070.000      -11.95242       2.770585    
   1080.000      -12.19167       2.736342    
   1090.000      -12.45374       2.702762    
   1100.000      -12.74312       2.669826    
   1110.000      -13.06575       2.637517    
   1120.000      -13.42979       2.605818    
   1130.000      -13.84673       2.574713    
   1140.000      -14.33340       2.544186    
   1150.000      -14.91552       2.514223    
   1160.000      -15.63468       2.484808    
   1170.000      -16.56274       2.455928    
   1180.000      -17.83571       2.427569    
   1190.000      -19.74695       2.399718    
   1200.000      -23.07947       2.372362    
   1210.000      -31.16865       2.345488    
   1220.000      -79.53616       37.61993    
   1230.000      -50.97626       28.96072    
   1240.000      -40.37776       22.75426    
   1250.000      -59.32566       36.08654    
   1260.000      -36.84259       28.48930    
   1270.000      -25.83158       22.92036    
   1280.000      -11.29532       18.78348    
   1290.000      -7.490413       15.67131    
   1300.000      -4.917727       13.30202    
   1310.000      0.6713641       11.47818    
   1320.000       1.395202       10.05986    
   1330.000       1.829754       8.946815    
   1340.000       2.064349       8.066434    
   1350.000       2.156204       7.365629    
   1360.000       2.141490       6.805254    
   1370.000       2.041226       6.356224    
   1380.000       1.863256       5.996804    
   1390.000       1.598562       5.710706    
   1400.000       1.198627       5.485722    
   1410.000      0.3823533       5.312758    
   1420.000       2.016450       7.045729    
   1430.000       2.476766       6.953051    
   1440.000       2.613208       6.897813    
   1450.000       2.637585       6.878208    
   1460.000       2.598199       6.893628    
   1470.000       2.512975       6.944596    
   1480.000       2.389381       7.032756    
   1490.000       2.046945       7.160917    
   1500.000       1.851719       7.333163    
   1510.000       1.617857       7.555028    
   1520.000       1.341067       7.833742    
   1530.000       1.015251       8.178566    
   1540.000      0.6323444       8.601241    
   1550.000      0.1820039       9.116573    
   1560.000     -0.3488429       9.743193    
   1570.000     -0.9766300       10.50455    
   1580.000      -1.721947       11.43019    
   1590.000      -2.754617       11.71430    
   1600.000      -2.857660       11.88454    
   1610.000      -3.001635       12.10764    
   1620.000      -3.194190       12.39492    
   1630.000      -3.556896       12.37720    
   1640.000      -3.419883       12.26610    
   1650.000      -3.287768       12.15660    
   1660.000      -3.160278       12.04868    
   1670.000      -3.037164       11.94230    
   1680.000      -2.918197       11.83743    
   1690.000      -2.803164       11.73403    
   1700.000      -2.691872       11.63209    
   1710.000      -2.584141       11.53157    
   1720.000      -2.479801       11.43245    
   1730.000      -2.378696       11.33470    
   1740.000      -2.280680       11.23828    
   1750.000      -2.185617       11.14319    
   1760.000      -2.093379       11.04938    
   1770.000      -2.003844       10.95684    
   1780.000      -1.916902       10.86554    
   1790.000      -1.832444       10.77547    
   1800.000      -1.750372       10.68658    
   1810.000      -1.670591       10.59888    
   1820.000      -1.593010       10.51232    
   1830.000      -1.517547       10.42690    
   1840.000      -1.830527       10.34259    
   1850.000      -1.758481       10.25936    
   1860.000      -1.688338       10.17720    
   1870.000      -1.620021       10.09610    
   1880.000      -1.553466       10.01602    
   1890.000      -1.488610       9.936964    
   1900.000      -1.425395       9.858903    
   1910.000      -1.363763       9.781820    
   1920.000      -1.303662       9.705700    
   1930.000      -1.245039       9.630525    
   1940.000      -1.187847       9.556277    
   1950.000      -1.132038       9.482944    
   1960.000      -1.077569       9.410507    
   1970.000      -1.024395       9.338953    
   1980.000     -0.9724770       9.268266    
   1990.000     -0.9217744       9.198430    
   2000.000     -0.8722499       9.129433    
   2010.000     -0.8238676       9.061259    
   2020.000     -0.7765926       8.993896    
   2030.000     -0.7303919       8.927330    
   2040.000     -0.6852333       8.861547    
   2050.000     -0.6410862       8.796535    
   2060.000     -0.5979211       8.732282    
   2070.000     -0.5557095       8.668774    
   2080.000     -0.5144240       8.606000    
   2090.000     -0.4740385       8.543947    
